fighter,elo_score,average_soo_score,ultimate_score,kd_x,sub.att_x,avg_sig_strikes,avg_takedowns,avg_sub_attempts,avg_control_time,kd_y,sig.str._y,td_y,sub.att_y,rev.,knockouts,submissions,first_round_finishes,sig_str_landed_total,sig_str_attempted_total,takedowns_landed_total,takedowns_attempted_total,sig_strikes_per_min,takedown_avg_per_min,knockdown_avg,sig_strikes_absorbed_per_min,sub_avg_per_min,total_rounds,total_fights,average_rounds_per_fight
Jon Jones,1711,1546,1645,0.077922078,0.143,20.312,0.584,0.143,65.844,0.078,20.312,0.584,0.143,0.0,11,7,0,1564,2655,36,98,4.38,1.89,0.25,2.24,0.46,77,24,3.21
Amanda Nunes,1669,1552,1622,0.170212766,0.213,19.745,0.809,0.213,89.404,0.17,19.745,0.809,0.213,0.0,13,4,14,975,1881,11,71,4.55,2.73,0.63,2.62,0.7,47,18,2.61
Khabib Nurmagomedov,1660,1552,1617,0.052631579,0.237,18.553,1.605,0.237,149.658,0.053,18.553,1.605,0.237,0.0,8,11,0,705,1444,49,127,4.1,5.32,0.17,1.75,0.79,38,13,2.92
Kamaru Usman,1658,1563,1620,0.158730159,0.032,21.175,0.937,0.032,127.603,0.159,21.175,0.937,0.032,0.0,9,1,3,1370,2620,28,130,4.36,2.82,0.48,2.74,0.1,63,17,3.71
Demetrious Johnson,1658,1552,1616,0.043478261,0.174,17.0,1.072,0.174,89.043,0.043,17.0,1.072,0.174,0.043,0,11,0,1291,2362,74,149,3.43,3.35,0.16,1.66,0.52,69,18,3.83
Islam Makhachev,1656,1545,1612,0.078947368,0.316,11.184,0.947,0.316,127.184,0.079,11.184,0.947,0.316,0.079,5,12,0,449,754,13,67,2.65,3.19,0.35,1.54,1.06,38,15,2.53
Dustin Poirier,1645,1547,1606,0.184210526,0.316,23.053,0.368,0.316,55.184,0.184,23.053,0.368,0.316,0.053,16,7,13,1798,3549,24,77,5.3,1.24,0.62,4.33,1.28,76,31,2.45
Max Holloway,1635,1544,1598,0.094736842,0.095,34.768,0.084,0.095,15.842,0.095,34.768,0.084,0.095,0.0,12,2,0,3457,7227,4,15,7.16,0.25,0.34,4.76,0.31,95,28,3.39
Israel Adesanya,1627,1572,1605,0.203125,0.047,19.453,0.016,0.047,9.609,0.203,19.453,0.016,0.047,0.047,16,0,6,1245,2589,13,8,4.0,0.05,0.63,3.21,0.14,64,17,3.76
Donald Cerrone,1626,1553,1597,0.24691358,0.136,21.58,0.296,0.136,28.617,0.247,21.58,0.296,0.136,0.049,10,17,15,2046,4392,20,109,4.41,1.16,0.81,4.48,1.16,81,38,2.13
